Acer Aspire 4810T	<nixos-hardware/acer/aspire/4810t>
Lenovo ThinkPad E14 (Intel - Gen 4)	<nixos-hardware/lenovo/thinkpad/e14/intel/gen4>
Lenovo ThinkPad E14 (Intel - Gen 2)	<nixos-hardware/lenovo/thinkpad/e14/intel/gen2>
Lenovo ThinkPad E14 (Intel - Gen 6)	<nixos-hardware/lenovo/thinkpad/e14/intel/gen6>
Lenovo ThinkPad E15 (Intel)	<nixos-hardware/lenovo/thinkpad/e15/intel>
Lenovo ThinkPad E470	<nixos-hardware/lenovo/thinkpad/e470>
Lenovo ThinkPad E495	<nixos-hardware/lenovo/thinkpad/e495>
Lenovo ThinkPad L13 Yoga	<nixos-hardware/lenovo/thinkpad/l13/yoga>
Lenovo ThinkPad L13	<nixos-hardware/lenovo/thinkpad/l13>
Lenovo ThinkPad L14 (AMD)	<nixos-hardware/lenovo/thinkpad/l14/amd>
Lenovo ThinkPad L14 (Intel)	<nixos-hardware/lenovo/thinkpad/l14/intel>
Lenovo ThinkPad L480	<nixos-hardware/lenovo/thinkpad/l480>
Lenovo ThinkPad P1 Gen 3	<nixos-hardware/lenovo/thinkpad/p1/3th-gen>
Lenovo ThinkPad P14s AMD Gen 1	<nixos-hardware/lenovo/thinkpad/p14s/amd/gen1>
Lenovo ThinkPad P14s AMD Gen 2	<nixos-hardware/lenovo/thinkpad/p14s/amd/gen2>
Lenovo ThinkPad P14s AMD Gen 3	<nixos-hardware/lenovo/thinkpad/p14s/amd/gen3>
Lenovo ThinkPad P14s AMD Gen 4	<nixos-hardware/lenovo/thinkpad/p14s/amd/gen4>
Lenovo ThinkPad P14s AMD Gen 5	<nixos-hardware/lenovo/thinkpad/p14s/amd/gen5>
Lenovo ThinkPad P14s Intel Gen 2	<nixos-hardware/lenovo/thinkpad/p14s/intel/gen2>
Lenovo ThinkPad P14s Intel Gen 3	<nixos-hardware/lenovo/thinkpad/p14s/intel/gen3>
Lenovo ThinkPad P14s Intel Gen 5	<nixos-hardware/lenovo/thinkpad/p14s/intel/gen5>
Lenovo ThinkPad P16s AMD Gen 1	<nixos-hardware/lenovo/thinkpad/p16s/amd/gen1>
Lenovo ThinkPad P16s AMD Gen 2	<nixos-hardware/lenovo/thinkpad/p16s/amd/gen2>
Lenovo ThinkPad P16s AMD Gen 4	<nixos-hardware/lenovo/thinkpad/p16s/amd/gen4>
Lenovo ThinkPad P16s Intel Gen 2	<nixos-hardware/lenovo/thinkpad/p16s/intel/gen2>
Lenovo ThinkPad P16s Intel Gen 3	<nixos-hardware/lenovo/thinkpad/p16s/intel/gen3>
Lenovo ThinkPad P1	<nixos-hardware/lenovo/thinkpad/p1>
Lenovo ThinkPad P43s	<nixos-hardware/lenovo/thinkpad/p43s>
Lenovo ThinkPad P50	<nixos-hardware/lenovo/thinkpad/p50>
Lenovo ThinkPad P51	<nixos-hardware/lenovo/thinkpad/p51>
Lenovo ThinkPad P52	<nixos-hardware/lenovo/thinkpad/p52>
Lenovo ThinkPad P53	<nixos-hardware/lenovo/thinkpad/p53>
Lenovo ThinkPad T14 AMD Gen 1	<nixos-hardware/lenovo/thinkpad/t14/amd/gen1>
Lenovo ThinkPad T14 AMD Gen 2	<nixos-hardware/lenovo/thinkpad/t14/amd/gen2>
Lenovo ThinkPad T14 AMD Gen 3	<nixos-hardware/lenovo/thinkpad/t14/amd/gen3>
Lenovo ThinkPad T14 AMD Gen 4	<nixos-hardware/lenovo/thinkpad/t14/amd/gen4>
Lenovo ThinkPad T14 AMD Gen 5	<nixos-hardware/lenovo/thinkpad/t14/amd/gen5>
Lenovo ThinkPad T14	<nixos-hardware/lenovo/thinkpad/t14>
Lenovo ThinkPad T14 Intel Gen 1	<nixos-hardware/lenovo/thinkpad/t14/intel/gen1>
Lenovo ThinkPad T14 Intel Gen 1 (Nvidia)	<nixos-hardware/lenovo/thinkpad/t14/intel/gen1/nvidia>
Lenovo ThinkPad T14 Intel Gen 6	<nixos-hardware/lenovo/thinkpad/t14/intel/gen6>
Lenovo ThinkPad T14s AMD Gen 1	<nixos-hardware/lenovo/thinkpad/t14s/amd/gen1>
Lenovo ThinkPad T14s AMD Gen 4	<nixos-hardware/lenovo/thinkpad/t14s/amd/gen4>
Lenovo ThinkPad T14s	<nixos-hardware/lenovo/thinkpad/t14s>
Lenovo ThinkPad T410	<nixos-hardware/lenovo/thinkpad/t410>
Lenovo ThinkPad T420	<nixos-hardware/lenovo/thinkpad/t420>
Lenovo ThinkPad T430	<nixos-hardware/lenovo/thinkpad/t430>
Lenovo ThinkPad T440p	<nixos-hardware/lenovo/thinkpad/t440p>
Lenovo ThinkPad T440s	<nixos-hardware/lenovo/thinkpad/t440s>
Lenovo ThinkPad T450s	<nixos-hardware/lenovo/thinkpad/t450s>
Lenovo ThinkPad T460	<nixos-hardware/lenovo/thinkpad/t460>
Lenovo ThinkPad T460p	<nixos-hardware/lenovo/thinkpad/t460p>
Lenovo ThinkPad T460s	<nixos-hardware/lenovo/thinkpad/t460s>
Lenovo ThinkPad T470s	<nixos-hardware/lenovo/thinkpad/t470s>
Lenovo ThinkPad T480	<nixos-hardware/lenovo/thinkpad/t480>
Lenovo ThinkPad T480s	<nixos-hardware/lenovo/thinkpad/t480s>
Lenovo ThinkPad T490	<nixos-hardware/lenovo/thinkpad/t490>
Lenovo ThinkPad T490s	<nixos-hardware/lenovo/thinkpad/t490s>
Lenovo ThinkPad T495	<nixos-hardware/lenovo/thinkpad/t495>
Lenovo ThinkPad T520	<nixos-hardware/lenovo/thinkpad/t520>
Lenovo ThinkPad T550	<nixos-hardware/lenovo/thinkpad/t550>
Lenovo ThinkPad T590	<nixos-hardware/lenovo/thinkpad/t590>
Lenovo ThinkPad W520	<nixos-hardware/lenovo/thinkpad/w520>
Lenovo ThinkPad X1 Yoga	<nixos-hardware/lenovo/thinkpad/x1/yoga>
Lenovo ThinkPad X1 Yoga Gen 7	<nixos-hardware/lenovo/thinkpad/x1/yoga/7th-gen>
Lenovo ThinkPad X1 Yoga Gen 8	<nixos-hardware/lenovo/thinkpad/x1/yoga/8th-gen>
Lenovo ThinkPad X1 (2nd Gen)	<nixos-hardware/lenovo/thinkpad/x1/2nd-gen>
Lenovo ThinkPad X1 (6th Gen)	<nixos-hardware/lenovo/thinkpad/x1/6th-gen>
Lenovo ThinkPad X1 (7th Gen)	<nixos-hardware/lenovo/thinkpad/x1/7th-gen>
Lenovo ThinkPad X1 (9th Gen)	<nixos-hardware/lenovo/thinkpad/x1/9th-gen>
Lenovo ThinkPad X1 (10th Gen)	<nixos-hardware/lenovo/thinkpad/x1/10th-gen>
Lenovo ThinkPad X1 (11th Gen)	<nixos-hardware/lenovo/thinkpad/x1/11th-gen>
Lenovo ThinkPad X1 (12th Gen)	<nixos-hardware/lenovo/thinkpad/x1/12th-gen>
Lenovo ThinkPad X1 (13th Gen)	<nixos-hardware/lenovo/thinkpad/x1/13th-gen>
Lenovo ThinkPad X1 Extreme Gen 2	<nixos-hardware/lenovo/thinkpad/x1-extreme/gen2>
Lenovo ThinkPad X1 Extreme Gen 3	<nixos-hardware/lenovo/thinkpad/x1-extreme/gen3>
Lenovo ThinkPad X1 Extreme Gen 4	<nixos-hardware/lenovo/thinkpad/x1-extreme/gen4>
Lenovo ThinkPad X1 Nano Gen 1	<nixos-hardware/lenovo/thinkpad/x1-nano/gen1>
Lenovo ThinkPad X13s	<nixos-hardware/lenovo/thinkpad/x13s>
Lenovo ThinkPad X13 Yoga	<nixos-hardware/lenovo/thinkpad/x13/yoga>
Lenovo ThinkPad X13 Yoga (3th Gen)	<nixos-hardware/lenovo/thinkpad/x13/yoga/3th-gen>
Lenovo ThinkPad X13 (Intel)	<nixos-hardware/lenovo/thinkpad/x13/intel>
Lenovo ThinkPad X13 (AMD)	<nixos-hardware/lenovo/thinkpad/x13/amd>
Lenovo ThinkPad X140e	<nixos-hardware/lenovo/thinkpad/x140e>
Lenovo ThinkPad X200s	<nixos-hardware/lenovo/thinkpad/x200s>
Lenovo ThinkPad X220	<nixos-hardware/lenovo/thinkpad/x220>
Lenovo ThinkPad X230	<nixos-hardware/lenovo/thinkpad/x230>
Lenovo ThinkPad X250	<nixos-hardware/lenovo/thinkpad/x250>
Lenovo ThinkPad X260	<nixos-hardware/lenovo/thinkpad/x260>
Lenovo ThinkPad X270	<nixos-hardware/lenovo/thinkpad/x270>
Lenovo ThinkPad X280	<nixos-hardware/lenovo/thinkpad/x280>
Lenovo ThinkPad X390	<nixos-hardware/lenovo/thinkpad/x390>
Lenovo ThinkPad Z Series	<nixos-hardware/lenovo/thinkpad/z>
Lenovo ThinkPad Z13 Gen 1	<nixos-hardware/lenovo/thinkpad/z/gen1/z13>
Lenovo ThinkPad Z13 Gen 2	<nixos-hardware/lenovo/thinkpad/z/gen2/z13>
Lenovo XiaoXin Pro 14imh9 2024	<nixos-hardware/lenovo/ideapad/14imh9>
LENOVO Yoga 6 13ALC6 82ND	<nixos-hardware/lenovo/yoga/6/13ALC6>
LENOVO Yoga Slim 7 Pro-X 14ARH7 82ND	<nixos-hardware/lenovo/yoga/7/14ARH7/amdgpu>
LENOVO Yoga Slim 7 Pro-X 14ARH7 82ND	<nixos-hardware/lenovo/yoga/7/14ARH7/nvidia>
Lenovo Yoga Slim 7i Pro X 14IAH7 (Integrated)	<nixos-hardware/lenovo/yoga/7/14IAH7/integrated>
Lenovo Yoga Slim 7i Pro X 14IAH7 (Hybrid)	<nixos-hardware/lenovo/yoga/7/14IAH7/hybrid>
Lenovo Yoga Slim 7 14ILL10	<nixos-hardware/lenovo/yoga/7/14ILL10>
LENOVO Yoga 7 Slim Gen8	<nixos-hardware/lenovo/yoga/7/slim/gen8>
Linglong Nova Studio	<nixos-hardware/linglong/nova-studio>
MSI B550-A PRO	<nixos-hardware/msi/b550-a-pro>
MSI B350 TOMAHAWK	<nixos-hardware/msi/b350-tomahawk>
MSI B550 TOMAHAWK	<nixos-hardware/msi/b550-tomahawk>
MSI GS60 2QE	<nixos-hardware/msi/gs60>
MSI GL62/CX62	<nixos-hardware/msi/gl62>
MSI GL65 10SDR-492	<nixos-hardware/msi/gl65/10SDR-492>
Malibal Aon S1	
Microchip Icicle Kit	<nixos-hardware/microchip/icicle-kit>
Microsoft Surface Go	<nixos-hardware/microsoft/surface/surface-go>
Microsoft Surface Pro (Intel)	<nixos-hardware/microsoft/surface/surface-pro-intel>
Microsoft Surface Laptop (AMD)	<nixos-hardware/microsoft/surface/surface-laptop-amd>
Microsoft Surface Range (Common Modules)	<nixos-hardware/microsoft/surface/common>
Microsoft Surface Pro 3	<nixos-hardware/microsoft/surface-pro/3>
Microsoft Surface Pro 9	<nixos-hardware/microsoft/surface-pro/9>
Milk-V Pioneer	<nixos-hardware/milkv/pioneer>
Morefine M600	<nixos-hardware/morefine/m600>
Minisforum UM690	<nixos-hardware/minisforum/um690>
Minisforum UM690S	<nixos-hardware/minisforum/um690s>
Minisforum UM790 Pro	<nixos-hardware/minisforum/um790-pro>
Minisforum V3	<nixos-hardware/minisforum/v3>
MNT Reform with RK3588 module	<nixos-hardware/mnt/reform/rk3588
MECHREVO Yilong15Pro	<nixos-hardware/mechrevo/GM5HG0A>
NXP iMX8 MPlus Evaluation Kit	<nixos-hardware/nxp/imx8mp-evk>
NXP iMX8 MQuad Evaluation Kit	<nixos-hardware/nxp/imx8mq-evk>
Hardkernel Odroid HC4	<nixos-hardware/hardkernel/odroid-hc4>
Hardkernel Odroid H3	<nixos-hardware/hardkernel/odroid-h3>
Hardkernel Odroid H4	<nixos-hardware/hardkernel/odroid-h4>
Hardkernel Odroid M1	<nixos-hardware/hardkernel/odroid-m1>
Olimex TERES-I	<nixos-hardware/olimex/teres_i>
Omen 14-fb0798ng	<nixos-hardware/omen/14-fb0798ng>
Omen 15-ce002ns	<nixos-hardware/omen/15-ce002ns>
Omen 15-en0010ca	<nixos-hardware/omen/15-en0010ca>
Omen 16-n0005ne	<nixos-hardware/omen/16-n0005ne>
Omen 16-n0280nd	<nixos-hardware/omen/16-n0280nd>
Omen 15-en1007sa	<nixos-hardware/omen/15-en1007sa>
Omen 15-en0002np	<nixos-hardware/omen/15-en0002np>
One-Netbook OneNetbook 4	<nixos-hardware/onenetbook/4>
Panasonic Let's Note CF-LX3	<nixos-hardware/panasonic/letsnote/cf-lx3>
Panasonic Let's Note CF-LX4	<nixos-hardware/panasonic/letsnote/cf-lx4>
PC Engines APU	<nixos-hardware/pcengines/apu>
PINE64 Pinebook Pro	<nixos-hardware/pine64/pinebook-pro>
PINE64 RockPro64	<nixos-hardware/pine64/rockpro64>
PINE64 STAR64	<nixos-hardware/pine64/star64>
Protectli VP4670	<nixos-hardware/protectli/vp4670>
Purism Librem 13v3	<nixos-hardware/purism/librem/13v3>
Purism Librem 15v3	<nixos-hardware/purism/librem/15v3>
Purism Librem 5r4	<nixos-hardware/purism/librem/5r4>
Radxa ROCK 4C+	<nixos-hardware/radxa/rock-4c-plus>
Radxa ROCK 5 Model B	<nixos-hardware/radxa/rock-5b>
Radxa ROCK Pi 4	<nixos-hardware/radxa/rock-pi-4>
Radxa ROCK Pi E	<nixos-hardware/radxa/rock-pi-e>
Razer Blade 14 (RZ09-0530)	<nixos-hardware/razer/blade/14/RZ09-0530>
Raspberry Pi 2	<nixos-hardware/raspberry-pi/2>
Raspberry Pi 3	<nixos-hardware/raspberry-pi/3>
Raspberry Pi 4	<nixos-hardware/raspberry-pi/4>
Raspberry Pi 5	<nixos-hardware/raspberry-pi/5>
Samsung Series 9 NP900X3C	<nixos-hardware/samsung/np900x3c>
Slimbook Hero RPL-RTX	<nixos-hardware/slimbook/hero/rpl-rtx>
StarFive VisionFive v1	<nixos-hardware/starfive/visionfive/v1>
StarFive VisionFive 2	<nixos-hardware/starfive/visionfive/v2>
StarLabs StarLite 5 (I5)	<nixos-hardware/starlabs/starlite/i5>
Supermicro A1SRi-2758F	<nixos-hardware/supermicro/a1sri-2758f>
Supermicro M11SDV-8C-LN4F	<nixos-hardware/supermicro/m11sdv-8c-ln4f>
Supermicro X10SLL-F	<nixos-hardware/supermicro/x10sll-f>
Supermicro X12SCZ-TLN4F	<nixos-hardware/supermicro/x12scz-tln4f>
System76 (generic)	<nixos-hardware/system76>
System76 Darter Pro 6	<nixos-hardware/system76/darp6>
System76 Gazelle 18	<nixos-hardware/system76/gaze18>
System76 Galago Pro 3	<nixos-hardware/system76/galp3>
System76 Galago Pro 5	<nixos-hardware/system76/galp5-1650>
System76 Thelio Mega	<nixos-hardware/system76/thelio-mega>
Toshiba Chromebook 2 swanky	<nixos-hardware/toshiba/swanky>
Tuxedo InfinityBook v4	<nixos-hardware/tuxedo/infinitybook/v4>
TUXEDO Aura 15 - Gen1	<nixos-hardware/tuxedo/aura/15/gen1>
TUXEDO InfinityBook Pro 14 - Gen7	<nixos-hardware/tuxedo/infinitybook/pro14/gen7>
TUXEDO InfinityBook Pro 14 - Gen9 - AMD	<nixos-hardware/tuxedo/infinitybook/pro14/gen9/amd>
TUXEDO InfinityBook Pro 14 - Gen9 - INTEL	<nixos-hardware/tuxedo/infinitybook/pro14/gen9/intel>
TUXEDO Pulse 14 - Gen3	<nixos-hardware/tuxedo/pulse/14/gen3>
TUXEDO Pulse 15 - Gen2	<nixos-hardware/tuxedo/pulse/15/gen2>
Xiaomi Redmibook 15 Pro 2021	<nixos-hardware/xiaomi/redmibook/15-pro-2021>
Xiaomi Redmibook 16 Pro 2024	<nixos-hardware/xiaomi/redmibook/16-pro-2024>
